Date	Profits	Increases	Total Months	Average Change	Total	Greatest Increase	Greatest Decrease
Dec-12	542494	398319.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-13	359333	-183161.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-13	321469	-37864.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-13	67780	-253689.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-13	471435	403655.0	86	446309.05	38382578	1926159.0	-2196167.0
May-13	565603	94168.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-13	872480	306877.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-13	789480	-83000.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-13	999942	210462.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-13	-1196225	-2196167.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-13	268997	1465222.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-13	-687986	-956983.0	86	446309.05	38382578	1926159.0	-2196167.0
Dec-13	1150461	1838447.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-14	682458	-468003.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-14	617856	-64602.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-14	824098	206242.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-14	581943	-242155.0	86	446309.05	38382578	1926159.0	-2196167.0
May-14	132864	-449079.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-14	448062	315198.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-14	689161	241099.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-14	800701	111540.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-14	1166643	365942.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-14	947333	-219310.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-14	578668	-368665.0	86	446309.05	38382578	1926159.0	-2196167.0
Dec-14	988505	409837.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-15	1139715	151210.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-15	1029471	-110244.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-15	687533	-341938.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-15	-524626	-1212159.0	86	446309.05	38382578	1926159.0	-2196167.0
May-15	158620	683246.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-15	87795	-70825.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-15	423389	335594.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-15	840723	417334.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-15	568529	-272194.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-15	332067	-236462.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-15	989499	657432.0	86	446309.05	38382578	1926159.0	-2196167.0
Dec-15	778237	-211262.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-16	650000	-128237.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-16	-1100387	-1750387.0	86	446309.05	38382578	1926159.0	-2196167.0
Mar-16	-174946	925441.0	86	446309.05	38382578	1926159.0	-2196167.0
Apr-16	757143	932089.0	86	446309.05	38382578	1926159.0	-2196167.0
May-16	445709	-311434.0	86	446309.05	38382578	1926159.0	-2196167.0
Jun-16	712961	267252.0	86	446309.05	38382578	1926159.0	-2196167.0
Jul-16	-1163797	-1876758.0	86	446309.05	38382578	1926159.0	-2196167.0
Aug-16	569899	1733696.0	86	446309.05	38382578	1926159.0	-2196167.0
Sep-16	768450	198551.0	86	446309.05	38382578	1926159.0	-2196167.0
Oct-16	102685	-665765.0	86	446309.05	38382578	1926159.0	-2196167.0
Nov-16	795914	693229.0	86	446309.05	38382578	1926159.0	-2196167.0
Dec-16	60988	-734926.0	86	446309.05	38382578	1926159.0	-2196167.0
Jan-17	138230	77242.0	86	446309.05	38382578	1926159.0	-2196167.0
Feb-17	671099	532869.0	86	446309.05	38382578	1926159.0	-2196167.0
